vacancy_name,employer_name,city,station_name,salary_min,salary_max,salary_currency,vacancy_link,site_address
Middle Backend Developer (Python),AppQuantum,Москва,Автозаводская,,,,https://pushkino.hh.ru/vacancy/46178058,https://hh.ru
Программист Python,ООО Делис Инфо,Москва,Авиамоторная,,,,https://pushkino.hh.ru/vacancy/46582846,https://hh.ru
Full-Stack Python Разработчик (Django),ОАО Межрегиональный ТранзитТелеком (ОАО МТТ),Москва,Марксистская,,,,https://pushkino.hh.ru/vacancy/44738683,https://hh.ru
Middle Python разработчик,NAUMEN,Санкт-Петербург,Лиговский проспект,,,,https://pushkino.hh.ru/vacancy/45851663,https://hh.ru
Python-разработчик (Карты),Mail.ru Group,Москва,,,,,https://pushkino.hh.ru/vacancy/44221115,https://hh.ru
Программист Python,ООО МАРК,Москва,,100000,,,https://pushkino.hh.ru/vacancy/46107111,https://hh.ru
Разработчик Python (Sbersource),Сбер. IT,Москва,Верхние Котлы,,,,https://pushkino.hh.ru/vacancy/45789965,https://hh.ru
Разработчик Python,Shterkel Systems,Челябинск,,60000,100000,руб.,https://pushkino.hh.ru/vacancy/46500642,https://hh.ru
Python-разработчик,Сбер. IT,Москва,Кутузовская,,,,https://pushkino.hh.ru/vacancy/46531064,https://hh.ru
Junior Python - разработчик,АО Воронежский опытный завод программной продукции,Воронеж,,,,,https://pushkino.hh.ru/vacancy/46507141,https://hh.ru
Разработчик Python,АО ФинТех,Москва,Полянка,,,,https://pushkino.hh.ru/vacancy/46522204,https://hh.ru
Python Engineer,Epam Systems Ukraine,Харьков,,,,,https://pushkino.hh.ru/vacancy/45540716,https://hh.ru
Backend-разработчик Python,MINT NFT,Владивосток,,200000,450000,руб.,https://pushkino.hh.ru/vacancy/46499976,https://hh.ru
Инженер-программист Python,Центр финансовых технологий,Томск,,,,,https://pushkino.hh.ru/vacancy/45548066,https://hh.ru
Бэкенд-разработчик (Python) / Middle Python / Python Developer (Remote),ЮТэйр,Санкт-Петербург,,150000,220000,руб.,https://pushkino.hh.ru/vacancy/46596485,https://hh.ru
Python Backend Developer,ООО Napoleon IT,Новосибирск,,,,,https://pushkino.hh.ru/vacancy/46224935,https://hh.ru
Senior Python Developer,Incrdbl Mobile Entertainment,Нижний Новгород,,,,,https://pushkino.hh.ru/vacancy/44220581,https://hh.ru
QA Automation Engineer (Python),Энерджи Софт,Санкт-Петербург,,110000,180000,руб.,https://pushkino.hh.ru/vacancy/45062852,https://hh.ru
Python Backend Engineer,Adjust Inc,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/46040414,https://hh.ru
Backend разработчик Python (Django) (middle),ООО Максконсалт,Москва,,,,,https://pushkino.hh.ru/vacancy/46112626,https://hh.ru
Senior Python Developer (Vehicle Builder),Arrival. Technology,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/40584488,https://hh.ru
Middle Python developer,ООО ЛИГРЕС,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/45740104,https://hh.ru
Разработчик Python,Электронная торговая площадка Газпромбанка,Москва,,,,,https://pushkino.hh.ru/vacancy/43766519,https://hh.ru
Python-разработчик во Flow,Яндекс,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/45987512,https://hh.ru
